GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
ABCA1_RPMI-8226,0.0158981666667,0.0,1.91048284848,0.0,0.0,0.00992,0.483325,0.0,0.0,0.0025,0.338243638889,0.0,0.0288782,0.0,0.0,0.962343517241,0.0,-1.8556859,0.309872666667,0.536208666667,0.448904964286,0.0,0.0,0.0,0.0095976,0.00930825,4.5671641791e-05,0.0107706190476,0.012089,0.0,1.0666886,0.0,0.0,1.9731185,-0.00206986666667,-0.008073,0.0,0.0,0.00166271428571,7.49473684211e-05,3.21548455556,0.0,9.56962025316e-05,0.0,0.0105946666667,0.0,0.00738690909091,0.00941314285714,0.047676,0.975474209302,0.0,1.68591632,0.00111872413793,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.291,BF,NO,-1.36580068194,0.333333333333,NEUTRAL,LOSS,NEUTRAL
ABCA1_SR,0.0229605,0.0,1.91053212121,0.0,0.0,0.00942611904762,0.289574733333,0.0,0.0,0.00498195,0.374062833333,0.0,0.0275944,0.0,0.0,1.08236955172,0.0,-2.1435774,0.0,0.806342333333,0.580301535714,0.0,0.0,0.0,0.0098376,0.008895,4.69552238806e-05,0.010821,0.0112185,0.0,0.87869985,0.0,0.0,1.10609925,-0.001973,-0.0076253,0.0,0.0,0.00237928571429,-4.77368421053e-05,-0.641824111111,0.0,9.14556962025e-05,0.0,0.0106175555556,0.0,0.00705836363636,0.0094180952381,0.047779,0.971820139535,0.0,1.68795568,0.002473,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.289,BF,NO,-1.36580068194,0.333333333333,NEUTRAL,LOSS,NEUTRAL
ABCC3_CCRF-CEM,-0.01436275,0.0,1.27412763636,0.0,0.0,0.009161,0.349738733333,0.0,0.0,0.009615,0.358460027778,0.0,0.026905,0.136581862069,0.0,0.919832,0.0,2.7373445,0.936282222222,0.470722733333,0.385930642857,0.0,0.0,0.0,0.0099666,0.00867225,4.76567164179e-05,0.0108481428571,0.010751,0.0,-0.6006451,0.0,0.0,1.568913,-0.0019208,-2.0984035,0.0,0.0,0.00154914285714,-4.65789473684e-05,-0.465921814815,0.0,8.91772151899e-05,0.0,0.01063,0.0,0.00688209090909,0.00942076190476,0.047835,0.0109986046512,0.0,0.84592208,0.0979378965517,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,3.808,AB,SC,-0.936594047007,1.0,NEUTRAL,NEUT,NEUTRAL
ABCC3_HL-60,0.018259,0.0,1.27411636364,0.0,0.0,0.0101784761905,0.798114266667,0.0,0.0,0.0049807,0.258634722222,0.0,0.0295504,0.0,0.0,0.966495448276,0.0,2.5030586,0.787112888889,0.545883366667,0.597440035714,0.0,0.0,0.0,0.0094719,0.009525,4.5e-05,0.0107442380952,0.012545,0.0,-0.67188995,0.0,0.0,2.02703675,-0.00212053333333,-0.0083074,0.0,0.0,0.00170142857143,-5.11578947368e-05,-0.823235148148,0.0,9.79113924051e-05,0.0,0.0105826666667,0.0,0.00755872727273,0.00941066666667,0.047622,-0.0510029069767,0.0,0.84591444,0.011953137931,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,3.866,AB,SC,-0.936594047007,1.0,NEUTRAL,NEUT,NEUTRAL
ABCC3_K-562,0.0242708333333,0.0,1.27410933333,0.0,0.0,0.0108118571429,0.4142246,0.0,0.0,0.0173776,0.284031166667,0.0,0.0311968,0.159816896552,0.0,1.03845537931,0.0,1.7361249,0.0,0.7197503,0.661165678571,0.0,0.0,0.0,0.0091638,0.010056,4.33432835821e-05,0.0106794761905,0.013662,0.0,-1.03174705,0.0,0.0,2.19965425,-0.0022448,-0.0088818,0.0,0.0,0.00179628571429,8.1e-05,-0.723561592593,0.0,0.00010335443038,0.0,0.0,0.0,0.00797990909091,0.00940438095238,0.0,0.43492355814,0.0,0.84590968,0.110128172414,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,3.808,AB,SC,-0.936594047007,1.0,NEUTRAL,NEUT,NEUTRAL
ABCC3_MOLT-4,0.0240618333333,0.0,1.27412818182,0.0,0.0,0.00911107142857,0.344138733333,0.0,0.0,0.006582,0.649340583333,0.0,0.02677604,0.0,0.0,0.939133413793,0.0,1.8123431,0.0,0.4850206,0.38953275,0.0,0.0,0.0,0.0099909,0.008631,4.7776119403e-05,0.0108531904762,0.0106635,0.0,-0.91265975,0.0,0.0,0.69559325,-0.00191106666667,-2.0983995,0.0,0.0,0.00262314285714,6.95263157895e-05,1.8582747037,0.0,8.87341772152e-05,0.0,0.0106322222222,0.0,0.00684918181818,0.00942133333333,0.047845,0.987745813953,0.0,0.84790096,0.0830053103448,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,3.808,AB,SC,-0.936594047007,1.0,NEUTRAL,NEUT,NEUTRAL
ABCC3_RPMI-8226,0.0158981666667,0.0,1.91048284848,0.0,0.0,0.00992,0.483325,0.0,0.0,0.0025,0.277154527778,0.0,0.0288782,0.147030551724,0.0,0.962688344828,0.0,-2.1345713,0.0,0.536208666667,0.740059892857,0.0,0.0,0.0,0.0095976,0.00930825,4.5671641791e-05,0.0107706190476,0.012089,0.0,0.9272459,0.0,0.0,1.5728295,-0.00206986666667,-0.008073,0.0,0.0,0.00166271428571,7.49473684211e-05,2.99244259259,0.0,9.56962025316e-05,0.0,0.0105946666667,0.0,0.00738690909091,0.00941314285714,0.047676,0.487102116279,0.0,1.68591636,0.00111872413793,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,3.808,AB,SC,-0.936594047007,1.0,NEUTRAL,NEUT,NEUTRAL
ABCC3_SR,-0.00935091666667,0.0335829,1.27412469697,0.0,0.0,0.00942611904762,0.289574733333,0.0,0.0,0.0025,0.60337775,0.0,0.0275944,0.0,0.0,1.08236955172,0.0,-2.1386135,0.0,0.806342333333,0.3535455,0.0,0.0,0.0,0.0098376,0.008895,4.69552238806e-05,0.010821,0.0112185,0.0,1.00048925,0.0,0.0,0.41704175,-0.001973,-0.0076253,0.0,0.0,0.00270342857143,7.16315789474e-05,-0.414079222222,0.0,9.14556962025e-05,0.0,0.0106175555556,0.0,0.00705836363636,0.0094180952381,0.047779,0.911466953488,0.0,0.84592008,0.002473,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,3.808,AB,SC,-0.936594047007,1.0,NEUTRAL,NEUT,NEUTRAL
ABCC4_CCRF-CEM,-0.0267265833333,0.0,1.91027148485,0.0,0.0,0.009161,0.349738733333,0.0,0.0,0.00659505,0.616121833333,0.0,0.02690504,0.136581862069,0.0,0.922865344828,0.0,1.9095271,0.0,0.4811819,0.266629678571,0.0,0.0,0.0,0.0099666,0.00867225,4.76567164179e-05,0.0108481428571,0.010751,0.0,-0.9117466,0.0,0.0,1.0177855,-0.0019208,-2.0984035,0.0,0.0,0.00154914285714,6.98421052632e-05,0.538547259259,0.0,8.91772151899e-05,0.0,0.01063,0.0,0.00688209090909,0.00942076190476,0.047835,0.0109986046512,0.0,1.68563196,0.0105656551724,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,3.642,AB,SC,-0.907281540097,0.583333333333,NEUTRAL,NEUT,NEUTRAL
ABCC4_HL-60,0.0172136666667,0.0,1.91023860606,0.0,0.0,0.0101784761905,0.718770733333,0.0,0.0,0.00686245,0.571759666667,0.0,0.0295504,0.109103172414,0.0,0.966495448276,0.0,-2.1361613,0.0,0.548392466667,0.552800785714,0.0,0.0,0.0,0.0094719,0.009525,4.5e-05,0.0107442380952,0.012545,0.0,0.9399457,0.0,0.0,1.59020425,-0.00212053333333,-0.0083074,0.0,0.0,0.00170142857143,7.67368421053e-05,0.216835481481,0.0,9.79113924051e-05,0.0,0.0105826666667,0.0,0.00755872727273,0.00941066666667,0.047622,0.425837255814,0.0,1.6855958,0.117976034483,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,6.571,AB,SC,-0.907281540097,0.583333333333,NEUTRAL,NEUT,NEUTRAL
ABCC4_K-562,0.0242709166667,0.0,1.91021812121,0.0,0.0,0.0108118571429,0.553139666667,0.0,0.0,0.0173776,0.40688325,0.0,0.0311968,0.0,0.0,1.03845537931,0.0,-2.1278168,0.0,0.708174066667,0.528019214286,0.0,0.0,0.0,0.0091638,0.010056,4.33432835821e-05,0.0106794761905,0.013662,0.0,1.03801015,0.0,0.0,1.5107225,-0.0022448,-0.0088818,0.0,0.0,0.00179628571429,8.1e-05,0.042153962963,0.0,0.00010335443038,0.0,0.0,0.0,0.00797990909091,0.00940438095238,0.0,-0.0534485348837,0.0,1.68557328,-0.00015575862069,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,7.166,AB,SC,-0.907281540097,0.583333333333,NEUTRAL,NEUT,NEUTRAL
