GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
AADAC_BT-549,0.0277658333333,0.0,1.27414160606,0.0,0.0,0.00790066666667,0.174623266667,0.0,0.0,0.0033529,0.386318388889,0.0,0.0236298,0.0,0.0,0.897302896552,0.0,-2.1493908,0.0,0.388792366667,0.393211428571,0.0,0.0,0.0,0.0105795,0.007617,5.09402985075e-05,0.0109767619048,0.008529,0.0,1.02356635,0.0,0.0,1.08561725,-0.00167333333333,0.0017065,0.0,0.0,0.002315,6.13684210526e-05,-0.608979185185,0.0,7.82911392405e-05,0.0,0.0106884444444,0.0,0.00604427272727,0.00943333333333,0.048098,0.0110752325581,0.0,0.84593156,0.00859434482759,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,0.0,2.286,AV,NO,-5.56808868216,2.21794871795,DOWNREG,GAIN,NEUTRAL
AADAC_HS-578-T,0.02587025,0.0,1.27417554545,0.0,0.0,0.00840480952381,0.0878822666667,0.0,0.0,0.0025,0.370284444444,0.0,0.0249402,0.0,0.0,1.07954041379,0.0,1.6732544,0.0,0.798737533333,0.663334214286,0.0,0.0,0.0,0.0103341,0.00803925,4.96268656716e-05,0.0109252380952,0.009418,0.0,-0.9201396,0.0,0.0,0.08275725,-0.0017724,-2.0983375,0.0,0.0,0.00215042857143,-4.31578947368e-05,-0.71443,0.0,8.26582278481e-05,0.0,0.0106651111111,0.0,0.00637954545455,0.00942819047619,0.047993,0.469356581395,0.0,0.84795988,-0.00604413793103,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,0.0,2.286,AV,NO,-5.56808868216,2.21794871795,DOWNREG,GAIN,NEUTRAL
AADAC_MCF7,0.0138928333333,0.0,1.91047960606,0.0,0.0,0.0102124761905,0.653826933333,0.0,0.0,0.0025,0.459298138889,0.0,0.0296382,0.0,0.0,1.01786482759,0.0,1.7506298,0.0,0.661012566667,0.494963035714,0.0,0.0,0.0,0.0094554,0.0095535,4.49104477612e-05,0.0107407619048,0.012605,0.0,-0.90041945,0.0,0.0,1.493962,-0.00212726666667,-0.0083381,0.0,0.0,0.00170642857143,-5.13157894737e-05,-0.777777777778,0.0,9.82278481013e-05,0.0,0.0105811111111,0.0,0.00758127272727,0.00941028571429,0.047615,-0.0477714883721,0.0,1.68591416,0.0118809310345,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,0.0,2.286,AV,NO,-5.56808868216,2.21794871795,DOWNREG,GAIN,NEUTRAL
AADAC_MDA-MB-231,0.0292401666667,0.0,1.27417515152,0.0,0.0,0.00846214285714,0.3258198,0.0,0.0,0.00641145,0.531533083333,0.0,0.0250892,0.0,0.0,0.866801793103,0.0,-2.150517,0.0,0.3208661,0.667595821429,0.0,0.0,0.0,0.0103065,0.00808725,4.94776119403e-05,0.0109194285714,0.009519,0.0,1.0024912,0.0,0.0,1.07115475,-0.00178366666667,-1.8087359,0.0,0.0,0.00144457142857,-4.34210526316e-05,-0.777777777778,0.0,8.3164556962e-05,0.0,0.0106624444444,0.0,0.00641763636364,0.00942761904762,0.047981,0.0110410465116,0.0,0.84597988,-0.0103577586207,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,0.0,2.286,AV,NO,-5.56808868216,2.21794871795,DOWNREG,GAIN,NEUTRAL
AADAC_T47D,0.01367925,0.0,1.27416278788,0.0,0.0,0.0102435714286,0.6104086,0.0,0.0,0.0025,0.226607055556,0.0,0.0297192,0.163578689655,0.0,0.990148448276,0.0,-1.8695567,0.281071222222,0.598534166667,0.694152321429,0.0,0.0,0.0,0.0094401,0.00957975,4.48358208955e-05,0.0107376190476,0.0126595,0.0,1.1812252,0.0,0.0,1.25028525,-0.00213333333333,0.001502,0.0,0.0,0.00171114285714,-5.14210526316e-05,-0.777777777778,0.0,9.84810126582e-05,0.0,0.0,0.0,0.00760190909091,0.0094099047619,0.0,-0.0342566046512,0.0,0.84795224,0.00410493103448,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,0.0,2.286,AV,NO,-5.56808868216,2.21794871795,DOWNREG,GAIN,NEUTRAL
AASS_BT-549,0.03029925,0.0,1.91050551515,0.0,0.0,0.00787373809524,0.194492333333,0.0,0.0,0.0049846,0.274566805556,0.0,0.0253698,0.0425504137931,0.00238215789474,0.897297482759,0.0,-2.1517618,0.0,0.387042,0.806248785714,0.0,0.0,0.0,0.0105927,0.0075945,5.1e-05,0.0174453809524,0.008481,0.0,1.0718742,0.0,0.0,0.48953725,-0.00166813333333,-2.0982915,0.0,0.0,0.00135642857143,-4.07894736842e-05,1.42428518519,0.0,7.81012658228e-05,0.0,0.0106897777778,0.0,0.00602636363636,0.00943352380952,0.048104,0.0110768604651,0.0,1.68593176,0.0829930689655,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,2.577,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL
AASS_HS-578-T,0.0226963333333,0.0,1.91049993939,0.0,0.0,0.00837804761905,0.0906947333333,0.0,0.0,0.00498375,0.361955722222,0.0,0.0248702,0.0,0.0,1.07953510345,0.0,-2.1431593,0.0,0.798693233333,0.6964925,0.0,0.0,0.0,0.0103473,0.00801675,4.96865671642e-05,0.00235714285714,0.0093705,0.0,0.98966165,0.0,0.0,0.21435675,-0.001767,-0.006675,0.0,0.0,0.00214442857143,-4.30526315789e-05,1.54634940741,0.0,8.24050632911e-05,0.0,0.0106664444444,0.0,0.00636154545455,0.00942857142857,0.047999,0.469358209302,0.0,1.68790796,-0.00453365517241,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,5.335,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL
AASS_MCF7,0.0103921666667,0.0,1.27411621212,0.0,0.0,0.0101875714286,0.558509466667,0.0,0.0,0.0025,0.477086472222,0.0,0.03133572,0.176850551724,0.000579631578947,1.01785993103,0.0,1.7547935,0.0,0.660971833333,0.0820311785714,0.0,0.0,0.0,0.0094674,0.0095325,4.49701492537e-05,0.0170362857143,0.012561,0.0,-0.99167785,0.0,0.0,1.94891725,-0.0021222,-0.0083157,0.0,0.0,0.00170271428571,-5.12105263158e-05,3.05178192593,0.0,9.79746835443e-05,0.0,0.0105822222222,0.0,0.00756472727273,0.00941047619048,0.04762,0.440602116279,0.0,0.84591432,0.306014413793,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,2.464,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL
AASS_MDA-MB-231,0.0219330833333,0.0,1.91029493939,0.0,0.0,0.0084355952381,0.328865466667,0.0,0.0,0.00640445,0.302366111111,0.0,0.0250196,0.0,0.0,0.866796482759,0.0,-2.1417474,0.0,0.320812733333,0.577081857143,0.0,0.0,0.0,0.0103194,0.00806475,4.95373134328e-05,0.002357,0.009472,0.0,0.9827991,0.0,0.0,1.07115475,-0.0017784,-0.0067272,0.0,0.0,0.00144057142857,6.49473684211e-05,3.03764192593,0.0,8.29113924051e-05,0.0,0.0106637777778,0.0,0.00639981818182,0.009428,0.047987,0.91857527907,0.0,1.68763764,-0.00883706896552,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,5.904,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL
AASS_T47D,0.00592666666667,0.0,1.91023687879,0.0,0.0,0.0102318095238,0.6310198,0.0,0.0,0.0025,0.445982333333,0.0,0.0296884,0.163579586207,0.0,0.990146172414,0.0,-2.1138118,0.0,0.5985147,0.491286357143,0.0,0.0,0.0,0.0094461,0.00957,4.48656716418e-05,0.00235252380952,0.012639,0.0,0.974176,0.0,0.0,1.6524355,-0.002131,-2.0395464,0.0,0.0,0.00255985714286,-5.13684210526e-05,3.32185433333,0.0,9.83544303797e-05,0.0,0.0,0.0,0.00759418181818,0.0094100952381,0.0,0.942487581395,0.0,1.68559388,0.131664724138,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,3.611,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL
